Sample_PD_ID	tube_barcode_identifier	IRCC_full	IRCC_CASE_ID	Specimen type
PD25887a	FR03483209	CRC0216LMX	CRC0216LM	Xenograft from CRC metastasis
PD25888a	FR03483623	CRC0169LMH	CRC0169LM	Original CRC metastasis
PD25888c	FR03483247	CRC0169LMX	CRC0169LM	Xenograft from CRC metastasis
PD25889a	FR03483235	CRC0027LMX	CRC0027LM	Xenograft from CRC metastasis
PD25890a2	FR03479915	CRC0032LMX	CRC0032LM	Xenograft from CRC metastasis
PD25891a	FR03483286	CRC0362LMX	CRC0362LM	Xenograft from CRC metastasis
PD25892a	FR03483628	CRC0223PRH	CRC0223PR	Original primary CRC 
PD25892c	FR03483226	CRC0223PRX	CRC0223PR	Xenograft from primary CRC 
PD25893a	FR03483243	CRC0029LMX	CRC0029LM	Xenograft from CRC metastasis
PD25894a	FR03483666	CRC0124LMX	CRC0124LM	Xenograft from CRC metastasis
PD25895a	FR03482992	CRC0145LMX	CRC0145LM	Xenograft from CRC metastasis
PD25896a	FR03482961	CRC0018LMX	CRC0018LM	Xenograft from CRC metastasis
PD25897a	FR03483241	CRC0229LMX	CRC0229LM	Xenograft from CRC metastasis
PD25897c	FR03483278	CRC0253LMX	CRC0253LM	Xenograft from CRC metastasis
PD25898a	FR03483295	CRC0180LMX	CRC0180LM	Xenograft from CRC metastasis
PD25899a	FR03483239	CRC0168LMX	CRC0168LM	Xenograft from CRC metastasis
PD25900a	FR03483234	CRC0234PRX	CRC0234PR	Xenograft from primary CRC 
PD25901a	FR03483228	CRC0085LMX	CRC0085LM	Xenograft from CRC metastasis
PD25902a	FR03483218	CRC0195PRX	CRC0195PR	Xenograft from primary CRC 
PD25903a2	FR03480630	CRC0427LMX	CRC0427LM	Xenograft from CRC metastasis
PD25904a	FR03483227	CRC0024LMX	CRC0024LM	Xenograft from CRC metastasis
PD25905a	FR03483634	CRC0096LMX	CRC0096LM	Xenograft from CRC metastasis
PD25906a	FR03483674	CRC0125LMX	CRC0125LM	Xenograft from CRC metastasis
PD25907a	FR03482975	CRC0025LMX	CRC0025LM	Xenograft from CRC metastasis
PD25908a	FR03482952	CRC0114LMX	CRC0114LM	Xenograft from CRC metastasis
PD25909a	FR03483647	CRC0115LMH	CRC0115LM	Original CRC metastasis
PD25909c	FR03483213	CRC0115LMX	CRC0115LM	Xenograft from CRC metastasis
